Region,Individual,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020
Northern Sydney,Employee,,,,,,,,,,,,,1,,,,1,,,,,,,,,73,97,103,78,93,90,87,142,107,88,117,84,82,55,84,85,140,64,62,51,,9,21,48,34,59
Northern Sydney,Free Travel,32,36,46,44,21,42,37,22,46,86,41,54,37,42,41,59,52,38,29,27,36,49,60,45,34,70,33,62,57,30,50,36,52,34,64,62,59,61,38,70,54,54,49,40,20,3,4,8,10,8,20
Northern Sydney,School Student,36,140,101,93,120,66,6,75,105,38,86,44,40,88,65,40,83,48,4,78,90,36,138,111,59,147,127,67,118,67,13,84,107,60,147,125,59,147,140,89,158,113,29,180,142,2,50,147,71,142,110
Northern Sydney,Senior/Pensioner,"3,292","2,936","3,090","3,807","3,052","3,571","3,768","3,995","5,533","5,950","4,606","6,044","4,246","4,004","4,282","4,714","5,087","5,059","1,982","4,573","5,183","5,820","5,610","5,793","4,636","4,566","4,944","5,163","5,402","5,204","7,510","5,998","5,264","5,601","5,094","6,243","5,146","5,568","4,345","6,194","5,708","5,662","5,572","5,018","2,848",370,581,"1,343","1,461","1,238","1,543"
Northern Sydney,Sgl Trip LR Adult,58,165,249,267,185,265,282,280,306,301,251,353,514,464,431,475,541,661,199,550,518,446,488,448,443,453,464,391,379,418,322,288,268,283,265,288,239,281,186,184,190,250,294,180,92,,7,13,39,13,17
Northern Sydney,Sgl Trip LR Child/Youth,17,33,59,79,29,86,121,41,54,107,44,62,178,106,120,107,82,156,99,91,78,140,75,91,213,80,139,80,54,121,134,57,68,113,67,73,104,45,32,52,40,96,127,35,30,,1,8,35,14,17
Northern Sydney,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,776","4,472","3,926","3,773","3,304","3,794","3,309","3,325","3,455","3,316","3,438","3,200","3,002","2,100",213,597,"1,182","1,507","1,099","1,247"
Northern Sydney,Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,463,574,244,294,530,315,310,484,241,382,636,152,103,7,51,98,261,104,192
Northern Sydney,Concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,355,289,324,245,200,287,274,284,300,327,288,304,252,38,80,114,174,167,191
Northern Sydney,CTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,518,519,470,519,656,624,630,891,"1,168","1,407","1,341","1,327",853,75,260,641,900,701,898
Northern Sydney,Day Pass without SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,1,,,1,,1,1,,,,,
Northern Sydney,Employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,52,64,65,54,61,60,47,58,32,48,29,35,28,14,13,23,29,23,25
Northern Sydney,Free Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,46,31,30,19,35,28,20,25,29,32,24,19,17,,6,9,14,6,10
Northern Sydney,School Student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,11,42,53,35,74,65,38,72,40,5,33,25,1,10,17,11,15,17
Northern Sydney,Senior/Pensioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743,"1,702","1,579","1,624","1,260","1,447","1,426","1,343","1,641","1,417","1,423","1,555","1,345",988,166,449,716,843,635,853
Northern Sydney,Sgl Trip LR Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,114,94,39,42,43,39,39,39,33,33,45,20,7,1,9,12,15,8,8
Northern Sydney,Sgl Trip LR Child/Youth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,46,61,21,11,31,12,14,29,16,17,42,33,7,,8,5,12,1,5
Southern Sydney,Adult,"5,906","6,298","6,424","6,485","5,795","6,562","6,219","6,432","7,903","7,190","6,828","7,331","7,492","7,207","6,927","7,451","7,779","7,675","3,381","7,127","7,737","7,629","8,858","7,732","8,235","8,358","8,143","7,588","8,155","7,363","6,922","7,472","8,206","7,283","8,084","7,361","7,589","7,608","6,782","7,138","7,369","6,835","6,337","6,250","4,623","1,109","1,498","2,253","2,725","2,666","2,842"
